pool_id,chain,symbol,bpt_price,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,2729.6020,977.5455,194.4400,272.2159,694.2598,0.0000,694.2598,9.9779,0,1740313847
0x89bb794097234e5e930446c0cec0ea66b35d7570,mainnet,Aave USDC-USDT,0.0000,895.0014,178.0214,249.2300,635.6364,0.0000,635.6364,9.1354,0,0
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,3196.2286,884.1705,175.8671,246.2139,627.9442,0.0000,627.9442,9.0248,0,1740551807
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,80RDNT-20wETH,0.2600,537.0923,106.8310,149.5635,0.0000,0.0000,0.0000,-375.9646,0,1740676151
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,2714.6509,372.6879,74.1300,103.7820,0.0000,0.0000,0.0000,-260.8816,0,1740562079
0x5512fddc40842b257e2a7742be3dadcf31574d53,mainnet,pxETH-gtWETHe,0.0000,319.3139,63.5135,88.9190,0.0000,0.0000,0.0000,-223.5197,0,0
0xeb95d6bd67f613e7918a031d9f4a9a92766659ac,mainnet,DVstETH-Prime wstETH,0.0000,160.9285,32.0097,44.8136,0.0000,0.0000,0.0000,-112.6499,0,0
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1.0410,94.9944,18.8950,26.4530,0.0000,0.0000,0.0000,-66.4961,0,1740347099
0xda17f3663c5d04c0b316cfa1a04aa53ebbc8c12c0000000000000000000006e7,mainnet,eBTC/wBTC,95317.2551,51.6388,10.2713,14.3798,0.0000,0.0000,0.0000,-36.1472,0,1740082319
0x9ed5175aecb6653c1bdaa19793c16fd74fbeeb37,mainnet,Surge tETH-Lido wstETH,0.0000,40.8981,8.1349,11.3889,0.0000,0.0000,0.0000,-28.6287,0,0
0xf028ac624074d6793c36dc8a06ecec0f5a39a718,mainnet,Steak USDR-USDQ-USDT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0
